,frame_number,track_id,object_type,xcenter,ycenter,bbox
0,15,12,person,634.3950384008936,445.67239001872565,[616.93644886 383.77351618 651.85362794 507.57126386]
0,16,1,person,780.0948302670769,466.8486266375466,[713.60530176 310.74212347 846.58435878 622.9551298 ]
0,16,2,person,275.4838819791962,437.7329224422259,[238.00887166 334.24568753 312.95889229 541.22015735]
0,16,3,person,715.9214398351776,444.9997665578303,[684.57832226 356.90460542 747.26455741 533.09492769]
0,16,4,person,360.6183591377697,451.79468074343015,[324.95517509 371.18874374 396.28154318 532.40061775]
0,16,5,person,593.4439663726978,438.22248214574483,[570.64110512 371.4488853  616.24682763 504.99607899]
0,16,6,person,213.6412855832433,457.2960677952615,[176.63782845 366.87937222 250.64474271 547.71276337]
0,16,9,person,543.8468671129439,437.9069970479651,[518.84687421 368.35640671 568.84686002 507.45758738]
0,16,10,person,163.88316393995535,444.6822531070909,[142.22830407 391.71961557 185.53802381 497.64489064]
0,16,11,person,965.4143740630557,455.08562452121333,[ 925.61564416  372.17497266 1005.21310397  537.99627638]
0,16,12,person,636.4097138346069,447.14970580992053,[619.19690225 386.99450667 653.62252542 507.30490495]
0,16,13,person,922.3272528225339,435.6594041486469,[897.53889095 349.2850302  947.11561469 522.0337781 ]
0,17,1,person,773.778907684657,465.79561433148893,[707.82296792 309.00858803 839.73484745 622.58264063]
0,17,2,person,273.76347658446053,437.45093278192326,[236.46659446 333.26566257 311.06035871 541.636203  ]
0,17,3,person,714.4791547193724,445.6028054422645,[684.25508715 359.4470448  744.70322228 531.75856608]
0,17,4,person,358.4681605458634,451.2191291091636,[323.49673004 371.67842137 393.43959105 530.75983685]
0,17,5,person,592.8084875282025,438.43152622045125,[570.44761063 372.59276463 615.16936443 504.27028781]
0,17,6,person,212.80379354163466,456.85207545170897,[175.84853948 366.43607812 249.7590476  547.26807278]
0,17,7,person,877.3222768073547,444.88131374735747,[854.35645053 382.30016885 900.28810309 507.46245865]
0,17,9,person,545.168647542687,437.98054669451517,[520.24397308 368.81327067 570.093322   507.14782272]
0,17,10,person,163.52483669200456,445.02616346625257,[142.17360084 392.05535695 184.87607255 497.99696998]
0,17,11,person,969.4122841973249,454.4807827798153,[ 931.18789785  372.68512318 1007.63667054  536.27644238]
0,17,12,person,636.5430500044024,447.1053685320595,[618.89552386 386.27453968 654.19057614 507.93619739]
0,17,13,person,923.8508521422971,435.64906075433316,[899.13215743 349.96855117 948.56954686 521.32957034]
0,18,1,person,768.6941966133325,467.80347736177384,[702.32630438 309.69726861 835.06208885 625.90968612]
0,18,2,person,271.5465913322113,437.02886318649394,[234.31666253 332.25316164 308.77652013 541.80456473]
0,18,3,person,714.7299993897996,445.51902545800914,[684.48520022 359.304153   744.97479856 531.73389791]
0,18,4,person,355.0868580382644,451.00984226690025,[320.8375873  372.53423706 389.33612877 529.48544747]
0,18,5,person,592.9492791778322,438.84118847661864,[570.86939719 373.67622683 615.02916117 504.00615012]
0,18,6,person,211.91369210677686,457.33703477227886,[174.67583179 366.25202058 249.15155242 548.42204897]
0,18,7,person,884.6678101409179,445.2302672988444,[861.89466973 383.17419588 907.44095055 507.28633872]
0,18,9,person,544.3872641035205,438.00674351818304,[519.54655126 368.98115779 569.22797695 507.03232925]
0,18,10,person,163.07072224528486,445.13994140013494,[142.1386719  392.16434359 184.00277259 498.11553921]
0,18,11,person,975.0987391633861,456.59092622055283,[ 938.84671022  377.58269051 1011.35076811  535.59916193]
0,18,12,person,637.2402475672934,445.94467123130664,[618.90740218 383.76959003 655.57309295 508.11975243]
0,18,13,person,925.3851031516833,436.35873360904066,[900.26492527 350.15187796 950.50528104 522.56558926]
0,19,1,person,760.3975254355166,469.9318842370862,[693.93286085 311.28123007 826.86219002 628.5825384 ]
0,19,2,person,270.12772521528404,437.8704594375419,[233.58205481 334.52342526 306.67339562 541.21749362]
0,19,4,person,352.24697735491753,451.94112878119904,[318.91707602 374.85916479 385.57687869 529.02309277]
0,19,5,person,593.0393361534343,438.32098678115494,[569.83746903 370.04982117 616.24120327 506.59215239]
0,19,6,person,210.99146173026486,457.182848364921,[173.989319   366.83243444 247.99360446 547.53326229]
0,19,9,person,544.132861808047,438.3469021572453,[519.74092669 370.36641744 568.52479693 506.32738688]
0,19,10,person,162.9124340399959,445.16775177535146,[142.03622403 391.52556667 183.78864405 498.80993688]
0,19,11,person,987.8638620000736,450.25343376910666,[ 949.45707923  365.86533771 1026.27064477  534.64152983]
0,19,12,person,637.0771302430937,445.1461195010337,[618.34687796 382.82713026 655.80738252 507.46510874]
0,19,13,person,927.6243077923771,436.5792248944276,[902.28644818 350.89950835 952.96216741 522.25894144]
0,20,1,person,753.2253829767867,470.4350507182582,[686.35748048 312.53295328 820.09328548 628.33714816]
0,20,2,person,268.3548846334777,437.87544627202635,[231.88031831 334.74947581 304.82945095 541.00141673]
